iter	Passed	Remaining
478	621	676
479	622	674
480	623	672
481	624	671
482	625	669
483	626	667
484	627	666
485	628	664
486	629	663
487	631	662
488	632	660
489	633	658
490	634	657
491	635	655
492	635	654
493	636	652
494	637	650
495	638	648
496	639	647
497	640	645
498	641	644
499	642	642
500	643	641
501	645	640
502	646	638
503	647	637
504	648	636
505	649	634
506	650	632
507	651	631
508	652	629
509	653	628
510	654	626
511	655	624
512	656	623
513	657	621
514	658	620
515	660	619
516	661	617
517	662	616
518	663	614
519	664	613
520	665	611
521	665	609
522	666	608
523	667	606
524	668	604
525	669	603
526	670	601
527	671	600
528	672	598
529	673	597
530	674	595
531	675	594
532	676	592
533	677	591
534	678	589
535	679	587
536	679	586
537	680	584
538	681	582
539	682	581
540	683	579
541	684	578
542	685	576
543	686	575
544	687	574
545	689	573
546	690	571
547	691	570
548	693	569
549	694	568
550	695	566
551	696	565
552	697	563
553	698	562
554	699	560
555	700	559
556	701	557
557	702	556
558	703	555
559	705	553
560	706	552
561	707	551
562	708	549
563	709	548
564	710	547
565	711	545
566	712	544
567	713	542
568	715	541
569	716	540
570	717	539
571	718	537
572	720	536
573	721	535
574	722	534
575	723	532
576	724	531
577	726	530
578	727	528
579	728	527
580	729	525
581	730	524
582	731	523
583	732	521
584	734	520
585	735	519
586	736	518
587	737	517
588	739	515
589	740	514
590	741	513
591	742	511
592	743	510
593	744	508
594	745	507
595	746	506
596	747	504
597	749	503
598	750	502
599	751	501
600	752	499
601	753	498
602	754	496
603	755	495
604	756	494
605	757	492
606	758	491
607	759	489
608	760	488
609	762	487
610	763	486
611	764	484
612	765	483
613	766	482
614	768	480
615	769	479
616	770	478
617	771	476
618	772	475
619	773	473
620	774	472
621	775	471
622	776	470
623	777	468
624	778	467
625	780	466
626	781	464
627	782	463
628	783	462
629	784	460
630	785	459
631	786	457
632	787	456
633	787	454
634	788	453
635	790	452
636	791	450
637	792	449
638	793	448
639	794	446
640	795	445
641	795	443
642	796	442
643	797	441
644	798	439
645	800	438
646	801	437
647	802	435
648	802	434
649	804	432
650	805	431
651	807	430
652	808	429
653	810	428
654	811	427
655	812	426
656	813	424
657	815	423
658	816	422
659	816	420
660	817	419
661	818	418
662	820	416
663	821	415
664	822	414
665	824	413
666	825	412
667	826	410
668	827	409
669	828	408
670	829	406
671	830	405
672	831	403
673	832	402
674	833	401
675	834	400
676	836	398
677	837	397
678	838	396
679	839	394
680	840	393
681	841	392
682	842	390
683	842	389
684	844	388
685	845	386
686	846	385
687	847	384
688	848	383
689	850	381
690	851	380
691	852	379
692	853	378
693	854	376
694	855	375
695	856	374
696	857	372
697	858	371
698	859	370
699	860	368
700	862	367
701	863	366
702	865	365
703	866	364
704	867	363
705	868	361
706	870	360
707	871	359
708	872	358
709	873	356
710	874	355
711	875	354
712	876	352
713	878	351
714	879	350
715	880	349
716	881	347
717	882	346
718	883	345
719	884	344
720	885	342
721	886	341
722	887	340
723	888	338
724	889	337
725	891	336
726	892	335
727	893	333
728	894	332
729	895	331
730	896	329
731	897	328
732	898	327
733	899	325
734	900	324
735	901	323
736	902	321
737	903	320
738	904	319
739	905	318
740	906	316
741	907	315
742	908	314
743	909	313
744	910	311
745	911	310
746	912	309
747	914	307
748	915	306
749	916	305
750	917	304
751	918	302
752	919	301
753	920	300
754	921	298
755	922	297
756	923	296
757	924	295
758	925	293
759	926	292
760	928	291
761	929	290
762	930	288
763	931	287
764	931	286
765	932	284
766	933	283
767	935	282
768	937	281
769	939	280
770	940	279
771	941	277
772	942	276
773	943	275
774	943	274
775	944	272
776	945	271
777	946	270
778	947	268
779	948	267
780	950	266
781	951	265
782	952	263
783	953	262
784	954	261
785	955	260
786	956	258
787	957	257
788	957	256
789	958	254
790	959	253
791	960	252
792	961	250
793	962	249
794	963	248
795	964	247
796	965	245
797	966	244
798	967	243
799	969	242
800	970	240
801	971	239
802	972	238
803	973	237
804	974	236
805	975	234
806	976	233
807	977	232
808	978	230
809	979	229
810	980	228
811	981	227
812	982	226
813	983	224
814	984	223
815	985	222
816	986	221
817	987	219
818	988	218
819	989	217
820	990	215
821	991	214
822	992	213
823	993	212
824	994	211
825	996	209
826	997	208
827	998	207
828	999	206
829	1000	204
830	1002	203
831	1003	202
832	1004	201
833	1005	200
834	1006	198
835	1008	197
836	1009	196
837	1011	195
838	1012	194
839	1013	193
840	1014	191
841	1016	190
842	1017	189
843	1018	188
844	1019	187
845	1020	185
846	1022	184
847	1023	183
848	1025	182
849	1026	181
850	1027	179
851	1028	178
852	1030	177
853	1031	176
854	1032	175
855	1033	173
856	1034	172
857	1036	171
858	1037	170
859	1039	169
860	1040	167
861	1042	166
862	1043	165
863	1044	164
864	1045	163
865	1047	162
866	1048	160
867	1049	159
868	1051	158
869	1053	157
870	1054	156
871	1056	155
872	1057	153
873	1058	152
874	1059	151
875	1061	150
876	1062	148
877	1063	147
878	1064	146
879	1066	145
880	1067	144
881	1068	142
882	1070	141
883	1071	140
884	1072	139
885	1073	138
886	1074	136
887	1075	135
888	1076	134
889	1077	133
890	1078	131
891	1079	130
892	1081	129
893	1082	128
894	1083	127
895	1084	125
896	1086	124
897	1087	123
898	1088	122
899	1089	121
900	1090	119
901	1090	118
902	1091	117
903	1092	116
904	1094	114
905	1095	113
906	1096	112
907	1097	111
908	1099	110
909	1100	108
910	1101	107
911	1102	106
912	1103	105
913	1104	103
914	1105	102
915	1106	101
916	1107	100
917	1108	99
918	1110	97
919	1111	96
920	1112	95
921	1113	94
922	1114	93
923	1115	91
924	1116	90
925	1117	89
926	1118	88
927	1119	86
928	1120	85
929	1121	84
930	1123	83
931	1124	82
932	1125	80
933	1126	79
934	1127	78
935	1128	77
936	1129	75
937	1131	74
938	1132	73
939	1133	72
940	1134	71
941	1135	69
942	1137	68
943	1138	67
944	1140	66
945	1141	65
946	1142	63
947	1144	62
948	1145	61
949	1146	60
950	1147	59
951	1148	57
952	1149	56
953	1150	55
954	1151	54
955	1152	53
956	1154	51
957	1155	50
958	1156	49
959	1157	48
960	1159	47
961	1160	45
962	1161	44
963	1162	43
964	1163	42
965	1164	40
966	1165	39
967	1166	38
968	1168	37
969	1169	36
970	1170	34
971	1171	33
972	1172	32
973	1173	31
974	1174	30
975	1175	28
976	1176	27
977	1177	26
978	1178	25
979	1179	24
980	1180	22
981	1181	21
982	1182	20
983	1183	19
984	1185	18
985	1186	16
986	1187	15
987	1188	14
988	1189	13
989	1190	12
990	1191	10
991	1191	9
992	1192	8
993	1193	7
994	1194	6
995	1195	4
996	1196	3
997	1198	2
998	1199	1
999	1200	0
